Date,TCS.NS,INFY.NS,HCLTECH.NS,TATASTEEL.NS,HINDALCO.NS,JINDALSTEL.NS,HDFCBANK.NS,ICICIBANK.NS,KOTAKBANK.NS,HINDUNILVR.NS,ITC.NS,NESTLEIND.NS
2025-02-28,3366.89306640625,1639.189208984375,1521.7222900390625,134.07333374023438,629.7318115234375,854.4549560546875,854.6477661132812,1194.8802490234375,380.1517028808594,2150.55126953125,379.8921203613281,1084.38623046875
2025-03-03,3376.36572265625,1659.4884033203125,1519.1619873046875,135.41212463378906,631.9158325195312,852.658447265625,839.428466796875,1196.964111328125,382.4790344238281,2137.39404296875,382.2484436035156,1082.35595703125
2025-03-04,3414.06298828125,1639.7720947265625,1483.5113525390625,136.16456604003906,636.978759765625,865.5828247070312,843.5971069335938,1201.1319580078125,381.1205749511719,2118.24755859375,379.74786376953125,1063.0169677734375
2025-03-05,3428.56201171875,1662.30517578125,1519.693359375,142.7705078125,652.5643920898438,889.8846435546875,833.73046875,1206.391357421875,386.17474365234375,2131.110107421875,389.5577087402344,1088.0262451171875
2025-03-06,3481.289794921875,1666.5301513671875,1531.7701416015625,147.01161193847656,676.9853515625,912.7891845703125,834.3224487304688,1208.7235107421875,383.8973693847656,2178.73095703125,390.1828918457031,1090.106201171875
2025-03-07,3490.568603515625,1637.5382080078125,1505.2012939453125,148.1060791015625,686.31689453125,907.150390625,833.3604736328125,1205.250244140625,386.63421630859375,2164.592041015625,388.45172119140625,1108.5535888671875
2025-03-10,3469.73876953125,1652.5440673828125,1496.84423828125,147.6077117919922,684.1329345703125,903.507568359375,832.4971313476562,1205.5478515625,383.9073791503906,2207.009033203125,389.5096435546875,1113.481201171875
2025-03-11,3455.867919921875,1613.8394775390625,1514.7659912109375,147.31454467773438,690.4367065429688,903.0584716796875,831.510498046875,1235.864013671875,386.59429931640625,2176.76708984375,390.66375732421875,1114.966796875
2025-03-12,3389.076416015625,1545.123046875,1488.438720703125,146.8748016357422,684.8278198242188,901.2620239257812,844.1644287109375,1234.425048828125,396.0533752441406,2153.153076171875,396.6266174316406,1087.283447265625
2025-03-13,3393.764404296875,1534.439208984375,1482.7867431640625,147.44158935546875,672.4187622070312,887.9384765625,841.9197998046875,1240.4783935546875,396.5627746582031,2135.38134765625,396.28997802734375,1085.525390625
2025-03-17,3380.860107421875,1544.34619140625,1492.8348388671875,148.3503875732422,675.7940673828125,895.4735717773438,843.79443359375,1259.2833251953125,398.16094970703125,2131.8955078125,392.3468322753906,1076.809326171875
2025-03-18,3380.860107421875,1544.34619140625,1492.8348388671875,148.3503875732422,675.7940673828125,895.4735717773438,843.79443359375,1259.2833251953125,398.16094970703125,2131.8955078125,393.45281982421875,1076.809326171875
2025-03-19,3380.280517578125,1540.94677734375,1492.158447265625,154.98565673828125,693.4644775390625,923.1685791015625,860.4197387695312,1303.0455322265625,403.8443908691406,2160.173583984375,387.63421630859375,1081.5882568359375
2025-03-20,3444.1240234375,1569.1131591796875,1509.1141357421875,155.41561889648438,700.8106079101562,924.3662109375,872.5803833007812,1311.5797119140625,406.6611328125,2201.755859375,388.49981689453125,1100.1842041015625
2025-03-21,3458.57470703125,1546.7742919921875,1513.6549072265625,153.6957244873047,690.2877807617188,912.4898071289062,873.3696899414062,1332.81591796875,415.3211364746094,2205.487060546875,390.0386047363281,1123.6087646484375
